Correlation term,Integral,integrand w other com ommitted
<02><14><35>,+(0ta)(0ab),"[a,(0*(GTtb-GTta))][b,(a*(GTa0-GTab))](b*(GTb0))p"
<02><14><53>,+(0ta)(0ab),"-[a,(0*(GTtb-GTta))][b,(a*(GTa0-GTab))]p(b*(-G0b))"
<02><41><35>,+(0ta)(0ab),"-[a,(0*(GTtb-GTta))](b*(GTb0))p[b,(a*(Gba-G0a))]"
<02><41><53>,+(0ta)(0ab),"[a,(0*(GTtb-GTta))]p(b*(-G0b))[b,(a*(Gba-G0a))]"
<02><15><34>,+(0ta)(0ab),"[a,(0*(GTt0-GTta))]([(b*(Gab)),b(a*(GTa0-GTab))p]-(a*(GTa0-GTab))[(b*(Gab)),bp])"
<02><15><43>,+(0ta)(0ab),"-[a,(0*(GTt0-GTta))][(b*(-GTba)),(a*(GTa0-GTab))]pb"
<02><51><34>,+(0ta)(0ab),"-[a,(0*(GTt0-GTta))]bp[(b*(Gab)),(a*(Gba-G0a))]"
<02><51><43>,+(0ta)(0ab),"[a,(0*(GTt0-GTta))]([(b*(-GTba)),p(a*(Gba-G0a))b]-[(b*(-GTba)),pb](a*(Gba-G0a)))"
<03><14><25>,+(0ta)(0ab),"-(0*(GTtb-GTta))[(b*(Gtb-Gab)),[a,b](a*(GTa0-GTab))p]-[(b*(Gtb-Gab)),[(0*(GTtb-GTta))b,a](a*(GTa0-GTab))p]-[a,(0*(GTtb-GTta))](a*(GTa0-GTab))[(b*(Gtb-Gab)),bp]"
<03><14><52>,+(0ta)(0ab),"(0*(GTtb-GTta))[(b*(Gtb-Gab)),[a,b]p(a*(Gba-G0a))]-[(b*(Gtb-Gab)),[a,(0*(GTtb-GTta))b]p(a*(Gba-G0a))]+[a,(0*(GTtb-GTta))][(b*(Gtb-Gab)),bp](a*(Gba-G0a))"
<03><41><25>,+(0ta)(0ab),"-[(b*(GTba-GTbt)),[a,(0*(GTtb-GTta))](a*(GTa0-GTab))]pb-[(b*(GTba-GTbt)),(0*(GTtb-GTta))](a*(GTa0-GTab))p[a,b]"
<03><41><52>,+(0ta)(0ab),"[(b*(GTba-GTbt)),(0*(GTtb-GTta))]p(a*(Gba-G0a))[a,b]+[(b*(GTba-GTbt)),[a,(0*(GTtb-GTta))]p(a*(Gba-G0a))b]-[a,(0*(GTtb-GTta))][(b*(GTba-GTbt)),pb](a*(Gba-G0a))"
<03><15><24>,+(0ta)(0ab),"[(b*(Gtb-Gab)),[a,(0*(GTt0-GTta))](a*(GTab))]bp+[(b*(Gtb-Gab)),(0*(GTt0-GTta))][a,(a*(GTab))bp]-[(b*(Gtb-Gab)),(0*(GTt0-GTta))]b[a,(a*(GTab))p]"
<03><15><42>,+(0ta)(0ab),"(0*(GTt0-GTta))[(b*(Gtb-Gab)),[a,b]p(a*(-Gba))]-[(b*(Gtb-Gab)),[a,(0*(GTt0-GTta))b]p(a*(-Gba))]+[a,(0*(GTt0-GTta))][(b*(Gtb-Gab)),bp](a*(-Gba))"
<03><51><24>,+(0ta)(0ab),"-[(b*(GTba-GTbt)),(0*(GTt0-GTta))](a*(GTab))p[a,b]-[(b*(GTba-GTbt)),[a,(0*(GTt0-GTta))](a*(GTab))]pb"
<03><51><42>,+(0ta)(0ab),"-(0*(GTt0-GTta))[(b*(GTba-GTbt)),[a,pb(a*(-Gba))]]-[(b*(GTba-GTbt)),(0*(GTt0-GTta))][a,p(a*(-Gba))]b-[a,(0*(GTt0-GTta))][(b*(GTba-GTbt)),pb](a*(-Gba))+[(b*(GTba-GTbt)),[a,(0*(GTt0-GTta))pb(a*(-Gba))]]"
<04><12><35>,+(0ta)(0ab),"-[b,(0*(GTt0-GTtb))](b*(GTb0))[(a*(Gta)),ap]+[(a*(Gta)),a[b,(0*(GTt0-GTtb))](b*(GTb0))p]"
<04><12><53>,+(0ta)(0ab),"[b,(0*(GTt0-GTtb))][(a*(Gta)),ap](b*(-G0b))-[(a*(Gta)),a[b,(0*(GTt0-GTtb))]p(b*(-G0b))]"
<04><21><35>,+(0ta)(0ab),"-[(a*(-GTat)),[b,(0*(GTt0-GTtb))](b*(GTb0))]pa "
<04><21><53>,+(0ta)(0ab),"-[b,(0*(GTt0-GTtb))][(a*(-GTat)),pa](b*(-G0b))+[(a*(-GTat)),[b,(0*(GTt0-GTtb))]p(b*(-G0b))a]"
<04><13><25>,+(0ta)(0ab),"-(0*(GTt0-GTtb))[(b*(Gtb-Gab)),[a,b](a*(GTa0-GTab))p]+[(b*(Gtb-Gab)),[a,b(0*(GTt0-GTtb))](a*(GTa0-GTab))p]-[a,(0*(GTt0-GTtb))](a*(GTa0-GTab))[(b*(Gtb-Gab)),bp]"
<04><13><52>,+(0ta)(0ab),"(0*(GTt0-GTtb))[(b*(Gtb-Gab)),[a,b]p(a*(Gba-G0a))]-[(b*(Gtb-Gab)),[a,b(0*(GTt0-GTtb))]p(a*(Gba-G0a))]+[a,(0*(GTt0-GTtb))][(b*(Gtb-Gab)),bp](a*(Gba-G0a))"
<04><31><25>,+(0ta)(0ab),"-[(b*(GTba-GTbt)),[a,(0*(GTt0-GTtb))](a*(GTa0-GTab))]pb-[(b*(GTba-GTbt)),(0*(GTt0-GTtb))](a*(GTa0-GTab))p[a,b]"
<04><31><52>,+(0ta)(0ab),"[(b*(GTba-GTbt)),(0*(GTt0-GTtb))]p(a*(Gba-G0a))[a,b]+[(b*(GTba-GTbt)),[a,(0*(GTt0-GTtb))]p(a*(Gba-G0a))b]-[a,(0*(GTt0-GTtb))][(b*(GTba-GTbt)),pb](a*(Gba-G0a))"
